iso_code,title,description,pubDate
us,I Wanted to Die: Northern Ireland Confronts a Suicide Crisis,"LURGAN, Northern Ireland  On a cold February night in 2001, as Joe Holbeach was jogging along the pebbled shores of Newcastle in Northern Ireland, he imagined being taken in by the vicious tide and drowning. Days later, he stood on the edge of the Giants Causeway cliff top and gazed down at the steep drop, trying to find the courage to jump.",2019-12-01T10:07:52+0000
us,Assange to Testify on Being Recorded in Embassy in London,"MADRID  This much has become clear in recent weeks: When Julian Assange, the WikiLeaks founder, was living in Ecuadors embassy in London, someone was spying on him, recording his private conversations. The question is: Who ordered the surveillance?",2019-12-01T10:37:51+0000
us,"Holiday Travel, AIDS, Sea Snakes: Your Weekend Briefing",(Want to get this briefing by email? Heres the sign-up.) ,2019-12-01T11:00:03+0000
us,"U.S. Drone Killed Afghan Civilians, Officials Say","KHOST, Afghanistan  An American drone strike on a car carrying a woman who had just given birth in southeastern Afghanistan left five people dead, including the mother, three of her relatives and the driver, Afghan officials and family members said on Sunday.",2019-12-01T11:42:34+0000
us,"In Prince Andrew Scandal, Prince Charles Emerges as Monarch-in-Waiting","LONDON  When Queen Elizabeth II welcomes President Trump and other world leaders to Buckingham Palace on Tuesday to mark the 70th anniversary of NATO, it will be another testament to her extraordinary longevity: She acceded to the throne only three years after the alliance was formed.",2019-12-01T11:58:28+0000
us,The Week in Business: The King of Luxury Just Got Even Richer,"Look, its a not a Black Friday-related email! Allow us to interrupt your post-Thanksgiving pie nibbling and online shopping with our weekly cheat sheet to the top stories in business and tech. Catch up on the latest and then enjoy whats left of your loafing time. ",2019-12-01T12:00:03+0000
us,"China Is Aiming to Break Detained Australian Writer, Lawyers Say","SYDNEY, Australia  Chinese officials have cut off all contact between a detained Australian writer and democracy activist, Yang Hengjun, and his family, in what his lawyers described on Sunday as an effort to break Mr. Yang and force him to confess to being a spy.",2019-12-01T13:03:55+0000
us,"10 People Wounded in New Orleans Shooting, Police Say",The authorities in New Orleans are investigating a shooting that left at least 10 people wounded early on Sunday during a weekend of a popular football game that draws many visitors.,2019-12-01T14:54:14+0000
us,How I Found Myself in Mrs. Maisels Shoes,"Last summer, the day my husband drove my daughter to sleepaway camp, I moved into my parents apartment building. Neighbors who had known me since childhood saw me in the elevator and asked what I was doing there. House-sitting, I said. In truth I was getting divorced, and crashing to save money until I found a new place for my daughter, 14, and me. When I told friends my situation, they said, Youre the real-life Mrs. Maisel. Minus the costuming and time period, there were striking similarities: difficult split, close Jewish family, prying neighbors. ",2019-12-01T15:00:07+0000
us,"The Best Movies and TV Shows Coming to Netflix, Apple TV Plus and More in December",Watching is The New York Timess TV and film recommendation website. Sign up for our twice-weekly newsletter here.,2019-12-01T15:00:09+0000
us,What to Cook This Week,"Good morning. Theres holiday music playing 12 hours a day in my house these days, frost in the corner of the windows, a fire in the hearth. Projects are running: tourtire for Christmas Eve; black cake for Christmas night. Were finishing up the leftovers from Thanksgiving, and Im planning the turkey-bone gumbo Ill make later today, a tradition I picked up from the New Orleans storyteller Pableaux Johnson, whose ways with a turkey carcass are legendary.",2019-12-01T15:30:00+0000
us,Snow and Sleet Cause Havoc for Travelers,[Update: Get the latest information on weather and transit conditions here.],2019-12-01T15:46:32+0000
us,Jack Merritt Died in the London Bridge Attack. Dont Forget What He Stood For.,"I remember a morning of unadulterated goodness. Id come to celebrate graduation at a local mens prison. The inmates had spent the semester studying criminal justice with students from the University of Cambridge as part of a program called Learning Together. The men from the prison dressed up for the occasion, hair slicked back and shirts tucked in.",2019-12-01T15:53:21+0000
us,"Irving Burgie, Who Wrote Calypso Hits for Harry Belafonte, Dies at 95","Irving Burgie, a singer, composer and lyricist whose songs were immortalized by Harry Belafonte during the calypso craze of the 1950s, died on Friday in Brooklyn. He was 95.",2019-12-01T16:27:26+0000
us,Dont Give Up on Criminal Justice Reform,To the Editor:,2019-12-01T17:00:03+0000
us,The Unhappy Truth About Montreal Bagels,To the Editor:,2019-12-01T17:00:08+0000
us,Jay Sekulow: President Trumps Media-Friendly Lawyer With Televangelist Ties,"Despite having limited experience in white-collar criminal law or impeachment investigations, Jay Sekulow is representing the president in a broad swath of high-profile defense cases. He also has deep ties in the evangelical community, a key constituency for the president.",2019-12-01T17:00:52+0000
us,"Trumps Other Personal Lawyer: Close to the Right, but Far From Giuliani","WASHINGTON  Jay Sekulow is a real lawyer, and he plays one on TV.",2019-12-01T17:00:57+0000
us,"Marilyn Saviola, Disability Rights Advocate, Is Dead at 74","Marilyn E. Saviola, who after childhood polio left her a quadriplegic spent much of her adult life advocating for people with disabilities, pushing for the removal of both the physical barriers and the attitudes that hinder people like her from fully participating in society, died on Nov. 23 at her home in Brooklyn. She was 74.",2019-12-01T17:21:31+0000
us,"Sidelined for Months, Judiciary Panel Will Reclaim Impeachment Drive It Once Led","This spring, as President Trump defiantly rejected congressional attempts to investigate his conduct and policies, Representative Jerrold Nadler of New York, the chairman of the Judiciary Committee, asked his Democratic colleagues on his famously voluble panel a loaded question: When all is said and done, given the facts before us, are we heading toward impeaching this president? ",2019-12-01T17:39:53+0000
us,Review: A Young Soprano Meets the Hype at the Met Opera,"Deep in the somber second act of Tchaikovskys opera The Queen of Spades, an old countess suddenly turns curmudgeonly critic. The culture, she complains, isnt what it was when she was young, in the glory days of 18th-century Russia.",2019-12-01T18:24:09+0000
us,Winter Storm Brings Sloppy and Slippery Conditions to New England,"Millions of people in the Northeast, including holiday travelers trying to make their way home, faced the first significant winter storm of the season on Sunday  a system that left heavy snow and rain in the wake of its transcontinental path east. ",2019-12-01T19:04:19+0000
us,Artemi Panarin Has Been the Player the Rangers Wanted and Needed,Artemi Panarins ever-present smile and polished scoring prowess are now firmly part of the Rangers.,2019-12-01T19:11:57+0000
us,"Man in Maine Is Fatally Shot by His Own Booby Trap, Police Say","A 65-year-old Maine man was fatally shot after he triggered a booby trap he had set in his house, according to the authorities.",2019-12-01T19:13:51+0000
us,Irish Ex-Soldier Who Married ISIS Fighter Is Arrested,"DUBLIN  A former Irish soldier who converted to Islam, traveled to Syria to join the Islamic State and married a British jihadi fighter, was arrested at Dublin Airport on Sunday for questioning about possible terrorism crimes, having been deported from Turkey.",2019-12-01T19:15:51+0000
us,Trumps Trade Deal Steals a Page From Democrats Playbook,WASHINGTON  House Democrats return to Washington on Monday facing a difficult choice: Should they hand President Trump a victory in the midst of a heated impeachment battle or walk away from one of the most progressive trade pacts ever negotiated by either party?,2019-12-01T19:27:56+0000
us,"With Brutal Crackdown, Iran Is Convulsed by Worst Unrest in 40 Years","Iran is experiencing its deadliest political unrest since the Islamic Revolution 40 years ago, with at least 180 people killed  and possibly hundreds more  as angry protests have been smothered in a government crackdown of unbridled force. ",2019-12-01T19:28:09+0000
us,Did The Irishman Take a Bite Out of the Thanksgiving Box Office?,LOS ANGELES  Theaters had a more meager Thanksgiving than last year. ,2019-12-01T19:44:50+0000
us,The Unending Indignities of Alzheimers,"Theres a home movie  an old one, on actual film  that I like to watch around the holidays. It features my two siblings and me in front of our childhood home after a huge snowstorm. Were toddlers. Theres a favorite red sled and the three of us in matching snow gear: puffy blue coats, adorable earflap hats, mittens. But the real star of the show is our dad. He zigs and zags us relentlessly through mounds of fluffy white powder, beaming frequently back at my mother, who holds the camera. His joy is palpable. At one point the sled tips over, and I start wailing. He turns it right-side-up, plops me back in and we resume. He is laughing, and before long, so am I.",2019-12-01T20:00:04+0000
us,"The Overlooked Undocumented Immigrants: From India, China, Brazil","SUNNYVALE, Calif.  Eddie Oh, an industrial engineer, lost his job during the financial crisis that gripped South Korea in 1998. With no prospects, he scrounged together his savings to pay his familys airfare to California. They were going on vacation, he told the United States embassy, which issued six-month visitor visas for the family. ",2019-12-01T20:04:15+0000
us,"Hong Kong, Fentanyl in China, Julian Assange: Your Monday Briefing","After a relative lull, thousands of pro-democracy activists returned to the streets a week after scoring a major victory in elections that were viewed as a broad endorsement of the movements goals. ",2019-12-01T20:10:53+0000
us,"Michael Howard, Eminent British Military Historian, Dies at 97","Michael Howard, an eminent military historian and decorated combat veteran who helped redefine the chronicling of conflict between states and pioneered a so-called English school of strategic studies, died on Saturday in Swindon, in southwest England. He had turned 97 a day earlier.",2019-12-01T20:16:50+0000
us,"These Reporters Rely on Public Data, Rather Than Secret Sources","LONDON  Leaked documents and interviews with whistle-blowing sources will always be a part of investigative journalism. But thanks to the rise of digital technology, and the easy availability of data that has gone with it, reporters have more ways to get stories than ever before.",2019-12-01T20:33:34+0000
us,Thinking About a Job or Career Change? Read This,"Welcome to the Smarter Living newsletter! Every Monday, S.L. editor Tim Herrera emails readers with tips and advice for living a better, more fulfilling life. Sign up here to get it in your inbox.",2019-12-01T21:00:03+0000
us,What Rappers Wore to the Genius Barbecue Concert in Brooklyn,"Genius, the media company that is the online repository of annotated song lyrics, held a barbecue concert at its Brooklyn headquarters in September, featuring some of the buzziest names in hip-hop. ",2019-12-01T21:40:44+0000
us,"As Troubles Grow, Mexicans Keep the Faith With Their President","PARASO, Mexico  Every day before dawn, a knot of unemployed men gather at the gate of a construction site, hoping to land a job building a new oil refinery that Mexicos president promises will bring riches to this forgotten corner of southeastern Mexico.",2019-12-01T22:38:37+0000
us,Suspects in Mormon Familys Killing Are Arrested in Mexico,"MEXICO CITY  The Mexican authorities on Sunday detained several suspects implicated in the massacre of nine members of a Mormon sect in northern Mexico in early November, according to the office of the nations attorney general.",2019-12-01T22:50:58+0000
us,Reduce Ones Standards,"MONDAY PUZZLE  Life is black and white only in the world of crossword puzzles. Most of the time, we need to remain flexible, raising and lowering our standards as necessary. Actually, let me rephrase that: Flexibility requires the raising and lowering of expectations rather than standards. Ones standards should always remain in place, without the expectation that others will adhere to them.",2019-12-01T23:00:02+0000
us,"Steelers Cling to Playoff Hopes, the Browns to the Idea of a Rivalry","PITTSBURGH  There were no helmets hurled as weapons, no suspensions and no penalties for unsportsmanlike conduct on Sunday when the Steelers and Browns played, just a pedestrian matchup of perplexing teams hanging on to playoff hopes.",2019-12-01T23:05:49+0000
us,Joe Sestak Ends Presidential Campaign,"Representative Joe Sestak of Pennsylvania, a former Navy admiral who made history in 2006 as the highest-ranked military officer elected to Congress, announced on Sunday that he was dropping out of the presidential race. ",2019-12-01T23:18:24+0000
us,Turn Off the Sunshine: Why Shade Is a Mark of Privilege in Los Angeles,"LOS ANGELES  There is no end to the glittering emblems of privilege in this city. Teslas clog the freeways. Affluent families scramble for coveted spots in fancy kindergartens. And up in the hills of Bel-Air, where a sprawling estate just hit the market for a record $225 million, lush trees line the streets, providing welcome relief from punishing heat.",2019-12-01T23:26:05+0000
us,H.I.V. Is Coming to Rural America,"While there are still about a million people living with H.I.V. in the United States, in some of Americas largest cities, the news about H.I.V. and AIDS is surprisingly positive.",2019-12-02T00:00:07+0000
us,"China Has Lost Taiwan, and It Knows It","Not a chance, the presidents tweet said, in Chinese characters. That was the message from Tsai Ing-wen, the leader of Taiwan, on Nov. 5, after the Chinese government announced a string of initiatives to lure Taiwanese companies and residents to the mainland.",2019-12-02T00:00:07+0000
